id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
genann:genann_prep:genann_run;47.0;15.0;3018.53;63.5125;27.0;8.0;1251.1218503490395;78.68210404870891;1;1.0;3
libxml2:parser_prep:xmlParseElementContentDecl;26.0;11.0;1947.99;76.3012;32.0;14.0;798.2892142331044;76.88622940531043;0;0.0;0
tulipindicators-0.9.1:tiamalgamation_prep:ti_wcprice_start;4.0;1.0;68.5324;126.33;4.0;1.0;60.91767875292167;126.94250954454398;0;0.0;1
transcoder-set:LEONARDO_NUMBER_1_prep:f_filled;1.0;1.0;22.4588;154.589;1.0;1.0;19.651484454403228;155.2836050228807;0;0.0;1
patch-2.7.6:pch_prep:pch_end;5.0;1.0;33.2193;126.481;3.0;1.0;41.51317942364757;133.5972239664512;0;0.0;0
gprolog-1.5.0:terminal_prep:Pl_LE_Screen_Size;22.0;6.0;634.999;85.9863;23.0;6.0;625.7725280672859;85.34226165882666;1;2.0;3
tar-1.34:quotearg_prep:quote_n_mem;5.0;1.0;131.686;119.319;3.0;1.0;124.0;127.90701678243042;1;1.0;3
screen-4.9.0:acls_prep:UserFreeCopyBuffer;20.0;5.0;644.819;87.6805;20.0;5.0;544.794564890713;88.55701152050143;1;12.0;1
libcsv:libcsv_prep:csv_free;11.0;4.0;280.944;101.916;12.0;4.0;272.28146997790384;100.66896326727604;1;4.0;1
nano-7.2:global_prep:flip_pipe;1.0;1.0;22.4588;154.589;3.0;1.0;20.67970000576925;137.22088769974698;0;0.0;0
libxml2:libxml2-py_prep:libxml_xmlUCSIsSupplementalArrowsB;13.0;3.0;518.058;96.2574;14.0;3.0;418.7639251168273;96.16327310992995;0;0.0;3
transcoder-set:K_TH_ELEMENT_TWO_SORTED_ARRAYS_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
mcsim-6.2.0:modo_prep:VerifyOutputEqns;9.0;2.0;343.482;104.581;6.0;2.0;279.69276394968557;112.21829960709317;0;0.0;2
libxml2:xmlsave_prep:xmlSaveNotationDecl;7.0;2.0;194.513;111.61;9.0;2.0;151.6206750336681;108.83377626480346;1;1.0;2
hello-2.12.1:quotearg_prep:quotearg_alloc_mem;20.0;4.0;857.131;86.4305;19.0;4.0;569.666175073558;89.38582577371194;1;6.0;3
tar-1.34:obstack_prep:_obstack_begin_1;13.0;1.0;403.818;98.0128;10.0;1.0;403.47670006346175;102.26750403787109;1;6.0;4
heman:vec3_prep:kmVec3TransformCoord;11.0;1.0;471.061;99.9182;12.0;1.0;518.282737735818;98.01180349413718;1;5.0;3
json.h:allow_equals_in_object_prep:json_value_as_number;6.0;2.0;158.123;115.184;9.0;2.0;124.0;109.87949770600703;1;4.0;1
transcoder-set:LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE_prep:main;25.0;3.0;5384.55;73.4895;15.0;3.0;375.0;95.61957140709805;1;3.0;3
libosip2-5.3.1:osip_authorization_prep:osip_authorization_set_cnum;3.0;1.0;92.0;129.459;5.0;1.0;82.0447025077789;121.7793317120339;1;1.0;2
transcoder-set:SWAP_TWO_NIBBLES_BYTE_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;123.18989788986397;127.94110026310747;0;0.0;2
cpio-2.14:tar_prep:null_block;10.0;3.0;220.921;104.94;12.0;3.0;291.4788597076543;100.54468137370628;0;0.0;3
wget-1.21.4:progress_prep:progress_update;12.0;4.0;313.823;99.9306;12.0;4.0;261.3428625411059;100.88217966035606;0;0.0;3
ed-1.19:regex_prep:build_active_list;18.0;7.0;790.827;87.866;20.0;7.0;701.4923684192406;86.7824450616322;0;0.0;5
findutils-4.9.0:extendbuf_prep:xextendbuf;11.0;2.0;253.319;102.914;8.0;2.0;215.49323753389433;108.91381347555566;0;0.0;3
transcoder-set:CHECK_LARGE_NUMBER_DIVISIBLE_6_NOT_prep:f_gold;9.0;3.0;385.0;103.758;9.0;3.0;351.0349360462734;104.23835593983081;0;0.0;2
libxml2:libxml2-py_prep:libxml_xmlIsCombining;11.0;2.0;401.29;100.522;11.0;2.0;361.65633065824187;101.06248571068716;0;0.0;5
nettle-3.9.1:rsa_prep:nettle_rsa_public_key_prepare;6.0;1.0;127.438;116.536;5.0;1.0;144.4295354570819;118.83858874602407;0;0.0;1
nettle-3.9.1:pgp-encode_prep:nettle_pgp_sub_packet_start;5.0;2.0;103.726;120.33;5.0;2.0;112.58797503894243;119.90368425335168;1;4.0;1
libxml2:libxml2-py_prep:libxml_xmlTextReaderConstString;14.0;3.0;733.985;93.2451;18.0;4.0;557.4115101222976;90.37479794669308;0;0.0;3
transcoder-set:FIND_INDEX_OF_AN_EXTRA_ELEMENT_PRESENT_IN_ONE_SORTED_ARRAY_prep:main;36.0;3.0;10145.2;64.2883;34.0;1.0;921.4805137319587;78.14785502190196;1;1.0;2
enscript-1.6.6:afm_prep:afm_error;5.0;1.0;84.0;121.657;5.0;1.0;114.6940428629768;120.03731177080559;1;1.0;1
libxml2:libxml2-py_prep:libxml_xmlXPathIsInf;11.0;2.0;396.336;100.586;11.0;2.0;317.06856386476;101.74668277118849;0;0.0;3
binn-3.0:binn_prep:binn_map_set;4.0;2.0;252.173;119.325;9.0;2.0;320.9473750504809;104.93432056815787;0;0.0;7
libosip2-5.3.1:osip_via_prep:osip_via_set_comment;3.0;1.0;74.2309;130.575;3.0;1.0;87.56916320732489;129.7158505510781;1;1.0;2
pexec-1.0rc8:numhash_prep:numhash_get_smallest_used;4.0;1.0;78.1378;125.648;3.0;1.0;60.91767875292167;131.60295911826282;0;0.0;1
libxml2:xmlunicode_prep:xmlUCSIsCatZp;4.0;1.0;58.8103;127.126;3.0;1.0;46.50699332842307;133.00654690726324;0;0.0;1
libxml2:HTMLparser_prep:htmlFreeParserCtxt;5.0;1.0;43.1851;125.117;5.0;1.0;48.432042660922164;124.52026532634042;1;1.0;1
transcoder-set:CHECK_POSSIBLE_TRANSFORM_ONE_STRING_ANOTHER_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;48.432042660922164;132.79564043134945;0;0.0;1
bzip2:bzlib_prep:BZ2_bzRead;43.0;39.0;4259.03;57.6432;25.0;13.0;830.9438487450846;80.90688808341854;1;20.0;5
