id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
gprolog-1.5.0:terminal_prep:Pl_LE_Screen_Size;22.0;6.0;634.999;85.9863;33.0;6.0;656.2827065212938;79.24630091814565;1;2.0;3
json.h:allow_equals_in_object_prep:json_value_as_number;6.0;2.0;158.123;115.184;9.0;2.0;133.437600046154;109.49806529060128;1;4.0;1
json.h:allow_no_commas_prep:json_value_is_true;3.0;1.0;77.6618;130.34;9.0;2.0;92.0;111.43166124649822;1;4.0;1
transcoder-set:CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;48.432042660922164;132.79564043134945;0;0.0;1
nano-7.2:files_prep:execute_command;105.0;38.0;7574.55;40.4166;17.0;4.0;262.3084942066396;95.22043322278793;1;2.0;3
screen-4.9.0:layer_prep:LCDisplayLineWrap;13.0;7.0;1602.83;89.4643;22.0;6.0;1280.4943132802348;82.33910463959899;0;0.0;7
gprolog-1.5.0:foreign_supp_prep:Pl_Query_Recover_Alt_0;5.0;1.0;38.0391;125.776;3.0;1.0;27.0;135.83412922035413;0;0.0;0
transcoder-set:FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY_1_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;123.18989788986397;127.94110026310747;0;0.0;2
transcoder-set:FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;123.18989788986397;127.94110026310747;0;0.0;2
transcoder-set:NEXT_POWER_OF_2_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
json.h:allow_leading_plus_sign_prep:json_write_minified;26.0;6.0;666.458;83.0286;30.0;6.0;676.6325578862951;80.63153486690328;1;1.0;5
cpio-2.14:util_prep:disk_buffered_write;22.0;4.0;462.959;88.0894;23.0;4.0;507.79901867755166;86.88854787073973;0;0.0;4
transcoder-set:PRIME_NUMBERS_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;149.33879237447786;126.94014992795601;0;0.0;2
patch-2.7.6:dirname-lgpl_prep:dir_len;19.0;9.0;656.548;87.4977;19.0;7.0;625.7579294737917;88.20747780615041;0;0.0;2
transcoder-set:FIND_LARGEST_D_IN_ARRAY_SUCH_THAT_A_B_C_D_prep:f_filled;1.0;1.0;44.9726;150.979;4.0;1.0;55.506595772116384;127.42622169641146;0;0.0;2
transcoder-set:FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY_prep:f_gold;9.0;8.0;660.929;99.798;9.0;8.0;825.8567691716872;98.6395707983187;0;0.0;3
transcoder-set:COMPUTE_NCR_P_SET_1_INTRODUCTION_AND_DYNAMIC_PROGRAMMING_SOLUTION_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;127.43782540330756;127.76481219439393;0;0.0;2
mtools-4.0.43:precmd_prep:postcmd;18.0;4.0;463.008;91.3397;37.0;7.0;774.8299584878988;76.29938311140268;0;0.0;1
transcoder-set:FRIENDS_PAIRING_PROBLEM_prep:f_gold;10.0;3.0;357.577;102.435;11.0;3.0;300.82814196102987;101.79009302796226;0;0.0;1
gawk-5.2.2:io_prep:redflags2str;21.0;2.0;649.043;87.5461;41.0;2.0;984.5023980354392;74.54102358328493;0;0.0;1
wget-1.21.4:utils_prep:print_decimal;17.0;6.0;607.821;90.3906;18.0;6.0;708.2797251975968;88.66921416176969;1;4.0;1
cflow-1.7:argp-fmtstream_prep:_argp_fmtstream_ensure;37.0;6.0;1285.09;73.8985;29.0;6.0;1282.5846708678544;77.85531806003422;0;0.0;2
cpio-2.14:util_prep:set_new_media_message;29.0;5.0;728.627;81.0258;22.0;6.0;893.23297498772;84.21190558270459;0;0.0;3
less-633:screen_prep:at_enter;12.0;3.0;549.446;97.2482;12.0;3.0;433.817894264827;98.47686306603819;1;6.0;1
transcoder-set:DIFFERENT_WAYS_SUM_N_USING_NUMBERS_GREATER_EQUAL_M_prep:main;15.0;3.0;798.062;91.6922;13.0;3.0;684.052766176931;94.81203810658363;0;0.0;3
tmux:tty_prep:tty_write;20.0;7.0;993.804;84.9711;14.0;2.0;289.50796518764884;98.31272064700505;1;3.0;2
gawk-5.2.2:debug_prep:do_continue;22.0;7.0;897.373;83.9579;29.0;6.0;960.6135501240389;79.35843214007565;1;17.0;4
libxml2:uri_prep:xmlParseURIReference;4.0;1.0;92.0;124.799;3.0;1.0;60.94436251225965;131.60068186195994;0;0.0;2
gprolog-1.5.0:ma2asm_prep:Label_Printf;9.0;1.0;181.521;108.128;5.0;1.0;120.92782504182705;119.76209764064455;0;0.0;2
heman:vec2_prep:kmVec2LengthSq;4.0;1.0;102.187;124.253;5.0;1.0;88.81055323538621;121.36727729304343;1;1.0;1
transcoder-set:EULERIAN_NUMBER_1_prep:f_gold;17.0;5.0;733.221;89.6452;16.0;5.0;672.0194841661346;91.08056856084768;0;0.0;2
gprolog-1.5.0:const_io_c_prep:Pl_Display_To_Atom_2;7.0;1.0;408.07;107.987;19.0;1.0;328.0872376492793;92.94503492189226;0;0.0;0
libxml2:libxml2-py_prep:libxml_xmlCopyCharMultiByte;12.0;2.0;445.0;98.5745;15.0;2.0;450.0;94.9014993117695;0;0.0;6
transcoder-set:BIRTHDAY_PARADOX_prep:f_gold;3.0;1.0;127.438;127.765;3.0;1.0;110.36149671375915;128.5129221045006;0;0.0;1
